"No. overall";"No. in season";Title;Directed by;Written by;Original air date;"U.S. viewers (millions)"
305;12;"""Harder, Better, Faster, Stronger""";Jeannot Szwarc;Kiley Donovan;February 8, 2018;7.32
306;13;"""You Really Got a Hold on Me""";Nzingha Stewart;Stacy McKee;March 1, 2018;7.52
307;14;"""Games People Play""";Chandra Wilson;Jason Ganzel & Julie Wong;March 8, 2018;7.07
308;15;"""Old Scars, Future Hearts""";Ellen Pompeo;Tameson Duffy;March 15, 2018;7.18
309;16;"""Caught Somewhere in Time""";Nicole Rubio;Jalysa Conway;March 22, 2018;7.61
310;17;"""One Day Like This""";Kevin McKidd;Elisabeth R. Finch;March 29, 2018;7.15
311;18;"""Hold Back the River""";Geary McLeod;Alex Manugian;April 5, 2018;6.84
312;19;"""Beautiful Dreamer""";Jeannot Szwarc;Meg Marinis;April 12, 2018;6.97
313;20;"""Judgment Day""";Sydney Freeland;Julie Wong;April 19, 2018;6.93
314;21;"""Bad Reputation""";Kevin McKidd;Mark Driscoll;April 26, 2018;6.54
315;22;"""Fight for Your Mind""";Jesse Williams;Andy Reaser;May 3, 2018;6.66
316;23;"""Cold as Ice""";Bill D'Elia;William Harper;May 10, 2018;7.35
317;24;"""All of Me""";Debbie Allen;Krista Vernoff;May 17, 2018;7.60
318;1;"""With a Wonder and a Wild Desire""";Debbie Allen;Krista Vernoff;September 27, 2018;6.81
319;2;"""Broken Together""";Kevin McKidd;Meg Marinis;September 27, 2018;6.81
320;3;"""Gut Feeling""";Michael Watkins;Mark Driscoll;October 4, 2018;6.61
321;4;"""Momma Knows Best""";Cecilie Mosli;William Harper;October 11, 2018;6.72
322;5;"""Everyday Angel""";Chandra Wilson;Julie Wong;October 25, 2018;6.54
323;6;"""Flowers Grow Out of My Grave""";Nicole Rubio;Kiley Donovan;November 1, 2018;6.71
324;7;"""Anybody Have a Map?""";Krista Vernoff;Elisabeth R. Finch;November 8, 2018;6.60
325;8;"""Blowin' in the Wind""";Kevin McKidd;Meg Marinis;November 15, 2018;7.30
326;9;"""Shelter from the Storm""";Jann Turner;William Harper;January 17, 2019;7.07
327;10;"""Help, I'm Alive""";Daniel Willis;Jalysa Conway & Jason Ganzel;January 24, 2019;6.98
328;11;"""The Winner Takes It All""";Allison Liddi-Brown;Elisabeth R. Finch;January 31, 2019;7.27
329;12;"""Girlfriend in a Coma""";Debbie Allen;Kiley Donovan;February 7, 2019;6.79
330;13;"""I Walk the Line""";Kevin McKidd;Tameson Duffy;February 14, 2019;6.58
331;14;"""I Want a New Drug""";Jeannot Szwarc;Zoanne Clack;February 21, 2019;6.89
332;15;"""We Didn't Start the Fire""";Chandra Wilson;Andy Reaser;February 28, 2019;6.99
333;16;"""Blood and Water""";Pete Chatmon;Kiley Donovan;March 7, 2019;6.55
334;17;"""And Dream of Sheep""";Sydney Freeland;William Harper;March 14, 2019;6.57
335;18;"""Add It Up""";Michael Watkins;Alex Manugian;March 21, 2019;7.00
336;19;"""Silent All These Years""";Debbie Allen;Elisabeth R. Finch;March 28, 2019;7.37
337;20;"""The Whole Package""";Geary McLeod;Meg Marinis;April 4, 2019;6.85
338;21;"""Good Shepherd""";Bill D'Elia;Julie Wong;April 11, 2019;6.81
339;22;"""Head Over High Heels""";Allison Liddi-Brown;Bridgette N. Burgess;April 18, 2019;6.24
340;23;"""What I Did for Love""";Jesse Williams;Mark Driscoll;May 2, 2019;6.96
341;24;"""Drawn to the Blood""";Kevin McKidd;Andy Reaser;May 9, 2019;6.37
342;25;"""Jump into the Fog""";Debbie Allen;Krista Vernoff;May 16, 2019;5.99
343;1;"""Nothing Left to Cling To""";Debbie Allen;Krista Vernoff;September 26, 2019;6.51
344;2;"""Back in the Saddle""";Kevin McKidd;Meg Marinis;October 3, 2019;6.08
345;3;"""Reunited""";Michael Medico;Andy Reaser;October 10, 2019;6.09
346;4;"""It's Raining Men""";Michael Watkins;Mark Driscoll;October 17, 2019;5.75
347;5;"""Breathe Again""";Chandra Wilson;Elisabeth R. Finch;October 24, 2019;6.10
348;6;"""Whistlin' Past the Graveyard""";Pete Chatmon;Julie Wong;October 31, 2019;5.66
349;7;"""Papa Don't Preach""";Daniel Willis;Jalysa Conway;November 7, 2019;6.16
350;8;"""My Shot""";Debbie Allen;Meg Marinis;November 14, 2019;6.34
351;9;"""Let's All Go to the Bar""";Kevin McKidd;Kiley Donovan;November 21, 2019;6.40
352;10;"""Help Me Through the Night""";Allison Liddi-Brown;Lynne E. Litt;January 23, 2020;6.66
353;11;"""A Hard Pill to Swallow""";Michael Medico;Adrian Wenner;January 30, 2020;5.56
354;12;"""The Last Supper""";Nicole Rubio;Jason Ganzel;February 6, 2020;5.47
355;13;"""Save the Last Dance for Me""";Jesse Williams;Tameson Duffy;February 13, 2020;5.58
356;14;"""A Diagnosis""";Greg Evans;Julie Wong;February 20, 2020;5.99
357;15;"""Snowblind""";Linda Klein;Meg Marinis;February 27, 2020;6.00
358;16;"""Leave a Light On""";Debbie Allen;Elisabeth R. Finch;March 5, 2020;6.30
359;17;"""Life on Mars?""";Michael Watkins;Jase Miles-Perez;March 12, 2020;6.27
360;18;"""Give a Little Bit""";Kevin McKidd;Zoanne Clack;March 19, 2020;7.04
361;19;"""Love of My Life""";Allison Liddi-Brown;Kiley Donovan & Andy Reaser;March 26, 2020;6.52
362;20;"""Sing It Again""";Michael Watkins;Jess Righthand;April 2, 2020;7.18
363;21;"""Put on a Happy Face""";Deborah Pratt;Mark Driscoll & Tameson Duffy;April 9, 2020;7.33
364;1;"""All Tomorrow's Parties""";Debbie Allen;Andy Reaser & Lynne E. Litt;November 12, 2020;5.93
365;2;"""The Center Won't Hold""";Debbie Allen;Andy Reaser & Jase Miles-Perez;November 12, 2020;5.93
366;3;"""My Happy Ending""";Kevin McKidd;Meg Marinis;November 19, 2020;5.96
367;4;"""You'll Never Walk Alone""";Allison Liddi-Brown;Julie Wong;December 3, 2020;5.84
368;5;"""Fight the Power""";Michael Watkins;Zoanne Clack;December 10, 2020;5.69
369;6;"""No Time for Despair""";Pete Chatmon;Felicia Pride;December 17, 2020;5.66
370;7;"""Helplessly Hoping""";Nicole Rubio;Elisabeth R. Finch;March 11, 2021;5.11
371;8;"""It's All Too Much""";Debbie Allen;Adrian Wenner;March 18, 2021;4.97
372;9;"""In My Life""";Kevin McKidd;Tameson Duffy;March 25, 2021;4.99
373;10;"""Breathe""";Linda Klein;Mark Driscoll;April 1, 2021;4.55
374;11;"""Sorry Doesn't Always Make It Right""";Giacomo Gianniotti;Julie Wong;April 8, 2021;4.83
375;12;"""Sign O' the Times""";Michael Medico;Jase Miles-Perez;April 15, 2021;4.98
376;13;"""Good as Hell""";Michael Watkins;Zoanne Clack;April 22, 2021;4.81
377;14;"""Look Up Child""";Debbie Allen;Elisabeth R. Finch & Felicia Pride;May 6, 2021;4.93
378;15;"""Tradition""";Kevin McKidd;Jess Righthand;May 20, 2021;4.58
379;16;"""I'm Still Standing""";Michael Watkins;Meg Marinis & Andy Reaser;May 27, 2021;4.33
380;17;"""Someone Saved My Life Tonight""";Kevin McKidd;Andy Reaser & Meg Marinis;June 3, 2021;4.76
381;1;"""Here Comes the Sun""";Debbie Allen;Meg Marinis;September 30, 2021;4.77
382;2;"""Some Kind of Tomorrow""";Kevin McKidd;Felicia Pride;October 7, 2021;4.04
383;3;"""Hotter Than Hell""";Chandra Wilson;Jamie Denbo;October 14, 2021;4.05
384;4;"""With a Little Help From My Friends""";Michael Watkins;Jess Righthand;October 21, 2021;3.91
385;5;"""Bottle Up and Explode!""";Lindsay Cohen;Kiley Donovan & Beto Skubs;November 11, 2021;4.75
386;6;"""Everyday Is a Holiday (With You)""";Tony Phelan;Meg Marinis;November 18, 2021;4.18
387;7;"""Today Was a Fairytale""";Debbie Allen;Julie Wong;December 9, 2021;3.65
388;8;"""It Came Upon a Midnight Clear""";Michael Watkins;Jase Miles-Perez;December 16, 2021;4.20
389;9;"""No Time to Die""";Linda Klein;Krista Vernoff;February 24, 2022;4.65
390;10;"""Living in a House Divided""";Allison Liddi-Brown;Jamie Denbo;March 3, 2022;3.95
391;11;"""Legacy""";Kevin McKidd;Mark Driscoll;March 10, 2022;3.87
392;12;"""The Makings of You""";Debbie Allen;Felicia Pride;March 17, 2022;3.60
393;13;"""Put the Squeeze on Me""";Allison Liddi-Brown;Julie Wong;March 24, 2022;4.24
394;14;"""Road Trippin'""";Linda Klein;Beto Skubs;March 31, 2022;3.93
395;15;"""Put It to the Test""";Kevin McKidd;Zoanne Clack;April 7, 2022;4.21
396;16;"""Should I Stay or Should I Go""";Michael Watkins;Jase Miles-Perez & Jess Righthand;May 5, 2022;3.90
397;17;"""I'll Cover You""";Debbie Allen;Emily Culver & Kiley Donovan;May 12, 2022;3.60
398;18;"""Stronger Than Hate""";Chandra Wilson;Julie Wong;May 19, 2022;3.80
399;19;"""Out for Blood""";Kevin McKidd;Meg Marinis;May 26, 2022;4.19
400;20;"""You Are the Blood""";Debbie Allen;Krista Vernoff;May 26, 2022;4.19
401;1;"""Everything Has Changed""";Debbie Allen;Krista Vernoff;October 6, 2022;3.80
402;2;"""Wasn't Expecting That""";Pete Chatmon;Meg Marinis;October 13, 2022;3.27
403;3;"""Let's Talk About Sex""";Kevin McKidd;Michelle Lirtzman;October 20, 2022;3.58
404;4;"""Haunted""";Amyn Kaderali;Jamie Denbo;October 27, 2022;3.48
405;5;"""When I Get to the Border""";Jesse Williams;Julie Wong;November 3, 2022;3.13
406;6;"""Thunderstruck""";Michael Watkins;Jase Miles-Perez;November 10, 2022;3.72
407;7;"""I'll Follow the Sun""";Debbie Allen;Krista Vernoff;February 23, 2023;3.60
408;8;"""All Star""";Allison Liddi-Brown;Briana Belser;March 2, 2023;3.08
409;9;"""Love Don't Cost a Thing""";Kevin McKidd;Jess Righthand;March 9, 2023;3.18
410;10;"""Sisters Are Doin' It for Themselves""";Linda Klein;Tameson Duffy;March 16, 2023;3.46
411;11;"""Training Day""";Kim Raver;Meg Marinis & Julie Wong;March 23, 2023;3.36
412;12;"""Pick Yourself Up""";Kevin McKidd;Scott D. Brown;March 30, 2023;3.70
413;13;"""Cowgirls Don't Cry""";Chandra Wilson;Mark Driscoll;April 6, 2023;3.31
414;14;"""Shadow of Your Love""";Allison Liddi-Brown;Beto Skubs;April 13, 2023;3.15
415;15;"""Mama Who Bore Me""";Linda Klein;Alyssa Margarite Jacobson;April 13, 2023;3.15
416;16;"""Gunpowder and Lead""";Morenike Joela Evans;Michelle Lirtzman;April 20, 2023;3.35
417;17;"""Come Fly with Me""";Amyn Kaderali;Kingsley Ume;May 4, 2023;3.10
418;18;"""Ready to Run""";Allison Liddi-Brown;Julie Wong;May 11, 2023;2.99
419;19;"""Wedding Bell Blues""";Kevin McKidd;Krista Vernoff and Meg Marinis;May 18, 2023;3.02
420;20;"""Happily Ever After?""";Debbie Allen;Meg Marinis;May 18, 2023;3.02
421;1;"""We've Only Just Begun""";Kevin McKidd;Meg Marinis;March 14, 2024;3.62
422;2;"""Keep the Family Close""";Allison Liddi-Brown;Briana Belser & Jess Righthand;March 21, 2024;3.50
423;3;"""Walk on the Ocean""";Debbie Allen;Mark Driscoll & Beto Skubs;March 28, 2024;3.26
424;4;"""Baby Can I Hold You""";Morenike Joela Evans;Jase Miles-Perez;April 4, 2024;3.23
425;5;"""Never Felt So Alone""";Debbie Allen;Tameson Duffy & Kingsley Ume;April 11, 2024;3.25
426;6;"""The Marathon Continues""";Amyn Kaderali;Sandra Hamada;May 2, 2024;2.92
427;7;"""She Used to Be Mine""";Debbie Allen;Scott D. Brown & Jamie Denbo;May 9, 2024;3.07
428;8;"""Blood, Sweat and Tears""";Chandra Wilson;Megan Chan Meinero;May 16, 2024;2.75
429;9;"""I Carry Your Heart""";Kevin McKidd;Michelle Lirtzman;May 23, 2024;3.02
430;10;"""Burn It Down""";Debbie Allen;Julie Wong;May 30, 2024;3.48
